dataset,pathway,method,stat,p,fdr,n,dir,sig,table,n_sig,overlap_with_atlas70,jaccard_vs_atlas70,min_p,min_fdr,n_pathways,n_atlas_sig,n_recomputed_sig,max_abs_dstat,max_abs_dp,celltype,label,n_markers,n_detected,score_baseline_mean,score_followup_mean,mean_change,t_paired,p_paired,p_wilcoxon,sig_fdr,sample,patient,time,score,orig_t,orig_p,orig_fdr,neut_adj_t,neut_adj_p,neut_adj_fdr,ancova_t,ancova_p,ancova_fdr,allcell_adj_t,allcell_adj_p,allcell_adj_fdr,in_atlas70,sig_orig,sig_neut_adj,sig_allcell_adj,corr_with_neutrophil
GSE37587,KEGG:Bile secretion,t_BH,0.5187546401853622,0.6073933568193679,0.8793750963545037,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Biosynthesis of unsaturated fatty acids,t_BH,0.09306360965634074,0.9264157455107918,0.9856798882664266,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Bladder cancer,t_BH,-1.2198445940623104,0.23117030485121634,0.6637192817430403,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Breast cancer,t_BH,0.028968093067474502,0.977064522534485,0.9964304697110075,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Butanoate metabolism,t_BH,0.8328052725654377,0.4109415273613034,0.7857590647454082,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:C-type lectin receptor signaling pathway,t_BH,-0.08351045507007328,0.9339502017254442,0.9866981597942979,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Caffeine metabolism,t_BH,2.304850943100723,0.027604572890477307,0.3212569635487795,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Calcium signaling pathway,t_BH,0.35192142523678277,0.7271346281023126,0.9236337563571059,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Carbohydrate digestion and absorption,t_BH,1.6410353729123852,0.11028841682060037,0.5336112302987261,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cardiac muscle contraction,t_BH,-0.9836348839825881,0.332452242628544,0.7399628174534358,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cell adhesion molecules,t_BH,0.6912812314380575,0.49422354313064665,0.8243157350788258,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cell cycle,t_BH,1.782108298581321,0.0839357731920988,0.4844161548909051,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cellular senescence,t_BH,2.5853478736776623,0.014334602131819177,0.2547117471760996,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Central carbon metabolism in cancer,t_BH,2.1168941078777332,0.04189386504617176,0.37220633902993167,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Chagas disease,t_BH,0.22525793592455554,0.8231677851823044,0.9518867807387674,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Chemical carcinogenesis,t_BH,0.8365887763567694,0.408841175600807,0.7849564358301289,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Chemokine signaling pathway,t_BH,0.33605219963788424,0.7389589563632452,0.9272633970040483,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cholesterol metabolism,t_BH,-1.6612234756090938,0.10614161472992509,0.5271978785168248,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Choline metabolism in cancer,t_BH,-1.1381400640766857,0.26325781142005444,0.6899170230318669,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cholinergic synapse,t_BH,-1.0542448750585407,0.29942881801661897,0.7272995702921958,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Chronic myeloid leukemia,t_BH,2.8445017935245964,0.007581971985852064,0.19207662364158562,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Circadian entrainment,t_BH,-0.5434335320298996,0.5904838215727742,0.8701942594861056,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Circadian rhythm,t_BH,-0.9039452256188572,0.3725763484483826,0.7603677043939941,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Citrate cycle (TCA cycle),t_BH,-0.7486273645223038,0.45938471354122423,0.8057610603283515,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cocaine addiction,t_BH,-1.4808129074350254,0.14814194905920075,0.5851824828219462,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Collecting duct acid secretion,t_BH,-1.3411892068065276,0.189017475673039,0.6218726093557843,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Colorectal cancer,t_BH,0.6187226076073895,0.540346879551103,0.8482055910505907,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Complement and coagulation cascades,t_BH,-1.7479713282480265,0.08976874593486392,0.49677501381019196,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Coronavirus disease,t_BH,-0.023724272881232092,0.9812154241624023,0.9973018204507896,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cortisol synthesis and secretion,t_BH,0.10428615786861804,0.9175735205698979,0.9823665507050695,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cushing syndrome,t_BH,-1.9701536713751704,0.05725973265662931,0.42456187069016266,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cysteine and methionine metabolism,t_BH,0.9608173304947962,0.3436316576280982,0.7464802922798354,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cytokine-cytokine receptor interaction,t_BH,0.10627715724039141,0.9160058959516663,0.9818529909960895,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Cytosolic DNA-sensing pathway,t_BH,-1.0382997859658978,0.30667887344325245,0.7281234654365062,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:DNA replication,t_BH,0.5209849084699558,0.60585595232015,0.8779552830773044,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Diabetic cardiomyopathy,t_BH,-1.570072139355231,0.12593846675215487,0.5583984972780275,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Dilated cardiomyopathy,t_BH,-0.3363296754031992,0.7387516407236269,0.9272633970040483,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Dopaminergic synapse,t_BH,-0.046727839926786786,0.9630117867973924,0.9961621963650098,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Drug metabolism,t_BH,0.8381087266654212,0.4079992845037972,0.7849564358301289,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:ECM-receptor interaction,t_BH,1.3447666782246672,0.18787102570149927,0.6218256305712204,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Endocrine and other factor-regulated calcium reabsorption,t_BH,-0.9117511237812134,0.3685124330465154,0.7566980558780662,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Endocytosis,t_BH,2.6536096563912683,0.012154406020468739,0.23233331265792972,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Endometrial cancer,t_BH,1.3754777677289207,0.178249037264714,0.6110972497128759,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Epithelial cell signaling in Helicobacter pylori infection,t_BH,-0.6204398176147804,0.5392297981096432,0.8478219258413832,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Epstein-Barr virus infection,t_BH,0.6498019345649011,0.5203181618725425,0.8376236774057553,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:ErbB signaling pathway,t_BH,1.0674450050119912,0.293518018894151,0.7198860745379202,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Estrogen signaling pathway,t_BH,0.6008560215114455,0.5520408562243737,0.852443190503294,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Ether lipid metabolism,t_BH,0.44490369997044626,0.6592939521034835,0.9003008504533938,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fanconi anemia pathway,t_BH,0.6022893999564687,0.5510979090660035,0.8520405907814584,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
