pathway,atlas_dir,atlas_stat,atlas_p,atlas_fdr,GSE16561_stroke_vs_control_t,GSE16561_stroke_vs_control_dir,GSE16561_stroke_vs_control_concordant,GSE22255_stroke_vs_control_t,GSE22255_stroke_vs_control_dir,GSE22255_stroke_vs_control_concordant,GSE58294_stroke_vs_control_3h_t,GSE58294_stroke_vs_control_3h_dir,GSE58294_stroke_vs_control_3h_concordant,GSE58294_stroke_vs_control_5h_t,GSE58294_stroke_vs_control_5h_dir,GSE58294_stroke_vs_control_5h_concordant,GSE58294_stroke_vs_control_24h_t,GSE58294_stroke_vs_control_24h_dir,GSE58294_stroke_vs_control_24h_concordant,GSE58294_24h_vs_3h_t,GSE58294_24h_vs_3h_dir,GSE58294_24h_vs_3h_concordant
REAC:RNA Polymerase II Pre-transcription Events,up,4.18595402988506,0.0001978804504254,0.033530411355792,-1.4519485418239768,down,False,-1.8220335516271393,down,False,-1.4069577623441378,down,False,-3.109382417520377,down,False,-1.4650306859981768,down,False,-0.010177408421824108,down,False
GOBP:positive regulation of neural precursor cell proliferation (GO:2000179),down,-4.09730468306237,0.0002550403592138,0.033530411355792,0.6119106878204512,up,False,0.5561508010065971,up,False,-0.9625167548582775,down,True,-0.9237340656152876,down,True,0.2623396605185101,up,False,0.6093266441856517,up,False
REAC:RNA Polymerase II Transcription Initiation,up,4.102676417370478,0.0002511576380184,0.033530411355792,-1.9479868599803623,down,False,-1.2192667762618983,down,False,-0.14848638883261364,down,False,-3.1271030724412383,down,False,-0.7304018033011598,down,False,-0.35602584589851194,down,False
REAC:RNA Polymerase II Transcription Initiation And Promoter Clearance,up,4.102676417370478,0.0002511576380184,0.033530411355792,-1.9479868599803623,down,False,-1.2192667762618983,down,False,-0.14848638883261364,down,False,-3.1271030724412383,down,False,-0.7304018033011598,down,False,-0.35602584589851194,down,False
REAC:RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,up,4.102676417370478,0.0002511576380184,0.033530411355792,-1.9479868599803623,down,False,-1.2192667762618983,down,False,-0.14848638883261364,down,False,-3.1271030724412383,down,False,-0.7304018033011598,down,False,-0.35602584589851194,down,False
REAC:rRNA modification in the mitochondrion,up,4.105867418422225,0.0002488786529929,0.033530411355792,-3.3736311142895277,down,False,-2.3050219379399923,down,False,0.5630907862352724,up,True,-4.109708760644111,down,False,-0.9579440877113679,down,False,-1.1320327302058495,down,False
GOBP:reticulophagy (GO:0061709),down,-4.109915841266674,0.0002460164553483,0.033530411355792,0.06804818228877015,up,False,-0.31982416715796674,down,True,-0.18422780451627935,down,True,-1.867485942708983,down,True,1.5486801907266639,up,False,1.0696712644860369,up,False
REAC:RNA Polymerase II Promoter Escape,up,4.102676417370478,0.0002511576380184,0.033530411355792,-1.9479868599803623,down,False,-1.2192667762618983,down,False,-0.14848638883261364,down,False,-3.1271030724412383,down,False,-0.7304018033011598,down,False,-0.35602584589851194,down,False
REAC:RNA Polymerase II HIV Promoter Escape,up,4.102676417370478,0.0002511576380184,0.033530411355792,-1.9479868599803623,down,False,-1.2192667762618983,down,False,-0.14848638883261364,down,False,-3.1271030724412383,down,False,-0.7304018033011598,down,False,-0.35602584589851194,down,False
REAC:RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,down,-4.071061819300833,0.0002748704213981,0.0346776523635913,0.2978688145029105,up,False,-1.6699506266905353,down,True,0.9362199398471879,up,False,1.9159451899691538,up,False,2.4058235752676733,up,False,2.5823458855127033,up,False
