cutoff,pt,xgb_static,proposed,treat_all
3,0.33,0.27476184295911743,0.28210253082414016,0.13510707332900707
3,0.34,0.2729802371541502,0.27794466403162055,0.12200263504611325
3,0.35000000000000003,0.269190635451505,0.2740334448160535,0.10849498327759188
3,0.36000000000000004,0.26869565217391306,0.27254347826086955,0.09456521739130425
3,0.37,0.2672574189095928,0.26762732919254656,0.08019323671497586
3,0.38,0.26202524544179523,0.2640336605890603,0.0653576437587658
3,0.39,0.2593813257305773,0.2596037063435495,0.05003563791874549
3,0.4,0.2575072463768116,0.2561159420289855,0.034202898550724614
3,0.41000000000000003,0.2534708916728077,0.25559911569638905,0.017833456153279248
3,0.42000000000000004,0.25126236881559216,0.2533013493253373,0.0008995502248874687
3,0.43,0.24831121281464535,0.2529488939740656,-0.016628527841342444
3,0.44,0.24648447204968948,0.2517267080745342,-0.034782608695652195
3,0.45,0.24398418972332014,0.2500553359683795,-0.05359683794466402
3,0.46,0.24228019323671496,0.24686634460547505,-0.07310789049919486
3,0.47000000000000003,0.2379064807219032,0.24538802296964723,-0.09335520918785889
3,0.48000000000000004,0.23646822742474916,0.23903678929765887,-0.11438127090301009
3,0.49,0.23455072463768117,0.2366308610400682,-0.13623188405797104
3,0.5,0.23165217391304346,0.2337391304347826,-0.15895652173913044
3,0.51,0.22747116237799467,0.23248979591836738,-0.18260869565217397
3,0.52,0.2241159420289855,0.23113043478260867,-0.2072463768115942
3,0.53,0.2249028677150786,0.22841073080481036,-0.2329324699352453
3,0.54,0.2260869565217391,0.22679773156899813,-0.2597353497164463
3,0.55,0.2233816425120773,0.22276328502415454,-0.2877294685990339
3,0.56,0.21767588932806325,0.22147035573122525,-0.3169960474308302
3,0.5700000000000001,0.21667138523761376,0.21844287158746206,-0.3476238624873611
3,0.5800000000000001,0.21258799171842646,0.21599999999999997,-0.3797101449275364
3,0.59,0.20894167550371157,0.2137857900318134,-0.41336161187698817
3,0.6,0.2026086956521739,0.21043478260869564,-0.44869565217391305
3,0.61,0.19985730211817165,0.20791973244147158,-0.4858416945373467
3,0.62,0.19664988558352406,0.20569336384439357,-0.5249427917620137
3,0.63,0.19765922444183315,0.20388249118683902,-0.5661574618096358
3,0.64,0.19628985507246377,0.20285990338164253,-0.6096618357487924
3,0.65,0.19527950310559006,0.2016894409937888,-0.6556521739130434
3,0.66,0.19236828644501278,0.19766751918158568,-0.7043478260869567
3,0.67,0.19203162055335968,0.19264295125164688,-0.7559947299077736
3,0.68,0.18795652173913044,0.18934782608695652,-0.8108695652173916
3,0.6900000000000001,0.1831136044880785,0.18708555399719495,-0.8692847124824687
3,0.7000000000000001,0.18342028985507244,0.184231884057971,-0.9315942028985511
3,0.7100000000000001,0.1808815592203898,0.1793583208395802,-0.9982008995502254
3,0.72,0.17848447204968945,0.1756024844720497,-1.0695652173913042
3,0.73,0.17754589371980675,0.17262479871175526,-1.1462157809983897
3,0.74,0.17693645484949833,0.17067558528428095,-1.22876254180602
3,0.75,0.17321739130434782,0.17008695652173914,-1.3179130434782609
3,0.76,0.17101449275362318,0.17002898550724638,-1.4144927536231884
3,0.77,0.1693610586011342,0.1683780718336484,-1.5194706994328924
3,0.78,0.16531225296442686,0.16442687747035573,-1.6339920948616606
3,0.79,0.16014906832298137,0.16062939958592132,-1.759420289855073
3,0.8,0.1631304347826087,0.15721739130434784,-1.897391304347827
3,0.81,0.16322196796338673,0.15245766590389015,-2.049885583524028
3,0.8200000000000001,0.1598454106280193,0.15107246376811595,-2.2193236714975857
3,0.8300000000000001,0.1567468030690537,0.1503222506393862,-2.4086956521739147
3,0.8400000000000001,0.1566086956521739,0.14669565217391303,-2.6217391304347846
3,0.85,0.15118840579710147,0.14260869565217393,-2.863188405797101
3,0.86,0.1444968944099379,0.13903105590062112,-3.139130434782609
3,0.87,0.13995986622073578,0.1411638795986622,-3.4575250836120404
3,0.88,0.13402898550724637,0.14028985507246375,-3.8289855072463777
3,0.89,0.13856126482213438,0.13479841897233202,-4.267984189723321
3,0.9,0.13391304347826086,0.12939130434782606,-4.7947826086956535
3,0.91,0.12776811594202897,0.12432850241545892,-5.4386473429951705
3,0.92,0.1203478260869565,0.12643478260869565,-6.243478260869569
3,0.93,0.11140372670807452,0.11796273291925465,-7.278260869565222
3,0.9400000000000001,0.10017391304347822,0.10608695652173912,-8.657971014492764
3,0.9500000000000001,0.0918260869565217,0.09565217391304345,-10.589565217391321
3,0.9600000000000001,0.07617391304347818,0.0963478260869565,-13.486956521739158
3,0.97,0.051594202898550774,0.08243478260869565,-18.31594202898549
3,0.98,0.07547826086956523,0.01634782608695652,-27.973913043478234
3,0.99,0.021565217391304375,0.0,-56.94782608695647
5,0.01,0.16422661396574442,0.16112428634167766,0.1606499780412824
5,0.02,0.1617036379769299,0.15847382431233364,0.1520851818988465
5,0.03,0.1592828328103989,0.15841147467503364,0.14334379202151504
5,0.04,0.15571014492753624,0.1565072463768116,0.13442028985507248
5,0.05,0.15308009153318078,0.15533180778032035,0.12530892448512587
5,0.060000000000000005,0.15097872340425533,0.1503422756706753,0.11600370027752083
5,0.06999999999999999,0.14742964001870035,0.1494866760168303,0.10649836372136515
5,0.08,0.14660113421550092,0.14820415879017013,0.09678638941398866
5,0.09,0.14469565217391303,0.14775728619206882,0.08686096512183471
5,0.09999999999999999,0.14264734299516907,0.14709178743961354,0.07671497584541065
5,0.11,0.14250317537860283,0.1450200293111871,0.06634098680996581
5,0.12,0.141897233201581,0.1429090909090909,0.05573122529644271
5,0.13,0.14165717141429285,0.14193303348325836,0.04487756121939031
5,0.14,0.14054600606673406,0.14128210313447928,0.033771486349848334
5,0.15000000000000002,0.1399693094629156,0.14035805626598466,0.02240409207161123
5,0.16,0.1390807453416149,0.13937888198757764,0.010766045548654235
5,0.17,0.1386401257202724,0.13860240963855422,-0.0011524358302776594
5,0.18000000000000002,0.13719618239660658,0.13795121951219513,-0.013361611876988339
5,0.19,0.13708212560386474,0.1375072463768116,-0.02587224906065483
5,0.2,0.1362608695652174,0.13643478260869565,-0.03869565217391302
5,0.21000000000000002,0.13645789763346175,0.1351326362135388,-0.05184369840396258
5,0.22,0.135670011148272,0.1341716833890747,-0.06532887402452617
5,0.23,0.13508300395256917,0.13361942405420668,-0.07916431394692261
5,0.24000000000000002,0.1337299771167048,0.13241189931350114,-0.09336384439359269
5,0.25,0.1327536231884058,0.13252173913043477,-0.1079420289855072
5,0.26,0.13248413631022327,0.13221151586368976,-0.12291421856639245
5,0.27,0.13164026206075047,0.13183085169743894,-0.13829660512209646
5,0.28,0.13114975845410629,0.13053140096618357,-0.1541062801932367
5,0.29000000000000004,0.13053766074709125,0.13009185548071034,-0.17036129822412738
5,0.3,0.12973913043478263,0.12924223602484472,-0.1870807453416149
5,0.31,0.1296080655324512,0.1278840579710145,-0.20428481411468175
5,0.32,0.12984143222506395,0.12701790281329922,-0.22199488491048597
5,0.33,0.12911096690460738,0.12613627514600909,-0.2402336145360156
5,0.34,0.12787351778656125,0.1258181818181818,-0.2590250329380765
5,0.35000000000000003,0.12682274247491637,0.12339799331103679,-0.2783946488294315
5,0.36000000000000004,0.1252391304347826,0.12308695652173912,-0.2983695652173914
5,0.37,0.1241407867494824,0.12299240855762596,-0.3189786059351276
5,0.38,0.12309677419354839,0.12236746143057503,-0.3402524544179522
5,0.39,0.12253741981468282,0.12220099786172488,-0.362223806129722
5,0.4,0.12208695652173912,0.12162318840579711,-0.3849275362318841
5,0.41000000000000003,0.12177450257921886,0.12057774502579219,-0.40840088430361093
5,0.42000000000000004,0.11983208395802099,0.12051574212893554,-0.43268365817091464
5,0.43,0.11857818459191458,0.11902974828375287,-0.45781845919145675
5,0.44,0.11759006211180124,0.11761490683229815,-0.4838509316770186
5,0.45,0.11598418972332017,0.11617391304347827,-0.5108300395256915
5,0.46,0.1147181964573269,0.11594202898550726,-0.5388083735909821
5,0.47000000000000003,0.1141394585726005,0.1147497949138638,-0.5678424938474158
5,0.48000000000000004,0.11355183946488295,0.11397993311036789,-0.5979933110367892
5,0.49,0.11225916453537937,0.11248422847399829,-0.6293265132139811
5,0.5,0.11200000000000002,0.11269565217391303,-0.6619130434782607
5,0.51,0.11143921916592725,0.1119148181011535,-0.6958296362023069
5,0.52,0.11052173913043477,0.11113043478260869,-0.731159420289855
5,0.53,0.11037927844588342,0.109950046253469,-0.7679925994449583
5,0.54,0.1091266540642722,0.10955009451795841,-0.8064272211720227
